id,name.local,name.en,name.slug,code.id,children_count.municipality,geo.lat,geo.lon
SV08001,Morazán Norte,Morazan Norte,morazan-norte-sv08001,SV08001,11,13.86,-88.11
SV08002,Morazán Sur,Morazan Sur,morazan-sur-sv08002,SV08002,15,13.695,-88.11
